center,finServ_finCode,transType,currency,sapHkont,description,active,flagKA,flag1T,flagIntKZ,flagTL_KA,flagTL_1T,flagTL_KA_FE,flagTL_1T_FE,flagTR_L_BBVA,flagTR_L_BMX
4103,DAIMLER,E,MXN,1111102522,Bco Egr. Transferencia BBVA-03402,true,false,false,false,false,false,false,false,true,false
4103,DAIMLER,I,MXN,1111102523,Bco Ingr. BBVA-03402,true,false,true,false,false,false,false,true,true,false
4103,DAIMLER,E,USD,1111202132,Bco Egr. Transferencia BBVA-04183,true,false,false,false,false,false,false,false,true,false
4103,DAIMLER,I,USD,1111202133,Bco Ingr. BBVA-04183,true,false,true,false,false,false,false,true,true,false
4100,DAIMLER,T,USD,9990000099,Traslado Logístico,true,false,false,false,true,true,false,false,false,false
4101,DAIMLER,T,USD,9990000099,Traslado Logístico,true,false,false,false,true,true,false,false,false,false
4102,DAIMLER,T,USD,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4103,DAIMLER,T,USD,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4104,DAIMLER,T,USD,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4105,DAIMLER,T,USD,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4106,DAIMLER,T,USD,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4107,DAIMLER,T,USD,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4108,DAIMLER,T,USD,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4100,DAIMLER,T,MXN,9990000099,Traslado Logístico,true,false,false,false,true,true,false,false,false,false
4101,DAIMLER,T,MXN,9990000099,Traslado Logístico,true,false,false,false,true,true,false,false,false,false
4102,DAIMLER,T,MXN,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4103,DAIMLER,T,MXN,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4104,DAIMLER,T,MXN,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4105,DAIMLER,T,MXN,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4106,DAIMLER,T,MXN,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4107,DAIMLER,T,MXN,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4108,DAIMLER,T,MXN,9990000099,Traslado Logístico,false,false,false,false,true,true,false,false,false,false
4100,BBVA,E,USD,1110510999,Banco Virtual,true,true,false,true,true,false,true,false,false,false
4102,BBVA,E,USD,1111202112,Bco Egr. Transferencia BBVA-42362,true,false,false,true,false,false,false,false,true,false
4105,BBVA,E,MXN,1111102612,Bco Egr. Transferencia BBVA-06145,true,false,false,true,false,false,false,false,true,false
4105,BBVA,E,USD,1111202202,Bco Egr. Transferencia BBVA-31716,true,false,false,true,false,false,false,false,true,false
4107,BBVA,E,USD,1111202102,Bco Egr. Transferencia BBVA-31691,true,false,false,true,false,false,false,false,true,false
4108,BBVA,E,USD,1111202242,Bco Egr. Transferencia BBVA-31752,true,false,false,true,false,false,false,false,true,false
100,R00,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,false,false,false
204,MAZDA,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,false,false,false
4100,DAIMLER,X,USD,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4100,DAIMLER,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4100,BBVA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4100,BBVA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4100,SCOTIA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4100,SCOTIA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4101,DAIMLER,X,USD,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4101,DAIMLER,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4101,BBVA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4101,BBVA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4102,DAIMLER,X,USD,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4102,DAIMLER,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4102,BBVA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4102,BBVA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4102,SCOTIA,X,USD,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4102,SCOTIA,X,MXN,1110510999,Banco Virtual,true,true,false,false,true,true,true,false,false,false
4103,DAIMLER,X,USD,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4103,DAIMLER,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4104,DAIMLER,X,USD,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
4104,DAIMLER,X,MXN,1110510999,Banco Virtual,true,true,true,false,true,false,true,true,false,false
